Model,Sample,Strategy,f1_phi,prec_phi,rec_phi,Weighted_MAE,MAE,RMSE,Tail_MAE,Tail_RMSE,tail_n
RandomForest,0_1,RO,0.6415,0.5849,0.7102,32.2824,27.6511,50.8782,104.2635,168.2667,425862.0
RandomForest,0_1,RU,0.7031,0.6634,0.748,31.2891,25.9626,50.5271,109.0345,171.4893,425862.0
RandomForest,0_1,SMOTER,0.7362,0.7079,0.7668,30.1083,24.2152,49.9867,110.1971,172.2026,425862.0
RandomForest,0_1,WERCS,0.3446,0.268,0.4827,38.8187,36.5076,55.2349,92.6816,160.6928,425862.0
RandomForest,0_2,Baseline,0.8118,0.8178,0.8059,27.9715,20.4406,49.4354,117.0974,176.7143,425862.0
RandomForest,0_2,GaussNoise,0.6994,0.6588,0.7454,31.3976,26.0667,50.5938,109.3661,171.5993,425862.0
RandomForest,0_2,RO,0.6499,0.5951,0.7159,31.8866,27.2175,50.562,103.1545,167.4111,425862.0
RandomForest,0_2,RU,0.7082,0.6696,0.7515,30.9421,25.607,50.2553,107.5879,170.5012,425862.0
RandomForest,0_2,SMOTER,0.7448,0.7194,0.7721,29.7915,23.8266,49.7783,109.6081,171.7591,425862.0
RandomForest,0_2,WERCS,0.3571,0.2796,0.4942,38.4532,36.0885,54.9553,91.76,159.9068,425862.0
